"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"1717503";"Pium (TO)";"383001,2"
"1717800";"Ponte Alta do Bom Jesus (TO)";"71274,7"
"1717909";"Ponte Alta do Tocantins (TO)";"125340,7"
"1718006";"Porto Alegre do Tocantins (TO)";"51166,4"
"1718204";"Porto Nacional (TO)";"3850165,2"
"1718303";"Praia Norte (TO)";"132429,2"
"1718402";"Presidente Kennedy (TO)";"71876,0"
"1718451";"Pugmil (TO)";"101396,9"
"1718501";"Recursolândia (TO)";"164680,2"
"1718550";"Riachinho (TO)";"66631,4"
"1718659";"Rio da Conceição (TO)";"29757,6"
"1718709";"Rio dos Bois (TO)";"94635,0"
"1718758";"Rio Sono (TO)";"105483,1"
"1718808";"Sampaio (TO)";"87893,4"
"1718840";"Sandolândia (TO)";"119920,6"
"1718865";"Santa Fé do Araguaia (TO)";"195532,0"
"1718881";"Santa Maria do Tocantins (TO)";"112561,8"
"1718899";"Santa Rita do Tocantins (TO)";"222462,9"
"1718907";"Santa Rosa do Tocantins (TO)";"464796,6"
"1719004";"Santa Tereza do Tocantins (TO)";"47244,0"
"1720002";"Santa Terezinha do Tocantins (TO)";"42844,6"
"1720101";"São Bento do Tocantins (TO)";"79930,0"
"1720150";"São Félix do Tocantins (TO)";"33019,4"
"1720200";"São Miguel do Tocantins (TO)";"233758,4"
"1720259";"São Salvador do Tocantins (TO)";"49679,8"
"1720309";"São Sebastião do Tocantins (TO)";"61444,1"
"1720499";"São Valério (TO)";"178992,8"
"1720655";"Silvanópolis (TO)";"286765,2"
"1720804";"Sítio Novo do Tocantins (TO)";"160124,4"
"1720853";"Sucupira (TO)";"160088,0"
"1720903";"Taguatinga (TO)";"314405,2"
"1720937";"Taipas do Tocantins (TO)";"35214,1"
"1720978";"Talismã (TO)";"162121,5"
"1721000";"Palmas (TO)";"11951579,3"
"1721109";"Tocantínia (TO)";"159208,9"
"1721208";"Tocantinópolis (TO)";"448286,1"
"1721257";"Tupirama (TO)";"111988,0"
"1721307";"Tupiratins (TO)";"38382,8"
"1722081";"Wanderlândia (TO)";"192953,9"
"1722107";"Xambioá (TO)";"598804,0"
"2100055";"Açailândia (MA)";"4148952,6"
"2100105";"Afonso Cunha (MA)";"117492,7"
"2100154";"Água Doce do Maranhão (MA)";"120773,9"
"2100204";"Alcântara (MA)";"153680,5"
"2100303";"Aldeias Altas (MA)";"369369,7"
"2100402";"Altamira do Maranhão (MA)";"79336,0"
"2100436";"Alto Alegre do Maranhão (MA)";"359926,4"
"2100477";"Alto Alegre do Pindaré (MA)";"282348,5"
"2100501";"Alto Parnaíba (MA)";"787087,3"
"2100550";"Amapá do Maranhão (MA)";"77337,0"
"2100600";"Amarante do Maranhão (MA)";"435131,5"
"2100709";"Anajatuba (MA)";"236141,8"
"2100808";"Anapurus (MA)";"178126,3"
"2100832";"Apicum-Açu (MA)";"152577,9"
"2100873";"Araguanã (MA)";"112188,4"
"2100907";"Araioses (MA)";"311060,6"
"2100956";"Arame (MA)";"296103,5"
"2101004";"Arari (MA)";"363216,6"
"2101103";"Axixá (MA)";"106711,9"
"2101202";"Bacabal (MA)";"1748315,4"
"2101251";"Bacabeira (MA)";"450355,1"
"2101301";"Bacuri (MA)";"138556,1"
"2101350";"Bacurituba (MA)";"45480,4"
"2101400";"Balsas (MA)";"8010408,2"
"2101509";"Barão de Grajaú (MA)";"293767,6"
"2101608";"Barra do Corda (MA)";"1034428,5"
"2101707";"Barreirinhas (MA)";"753456,2"
"2101731";"Belágua (MA)";"91671,9"
"2101772";"Bela Vista do Maranhão (MA)";"124651,1"
"2101806";"Benedito Leite (MA)";"95654,5"
"2101905";"Bequimão (MA)";"158757,7"
"2101939";"Bernardo do Mearim (MA)";"105329,2"
"2101970";"Boa Vista do Gurupi (MA)";"80574,3"
"2102002";"Bom Jardim (MA)";"502148,6"
"2102036";"Bom Jesus das Selvas (MA)";"425063,8"
"2102077";"Bom Lugar (MA)";"128771,0"
"2102101";"Brejo (MA)";"386372,9"
"2102150";"Brejo de Areia (MA)";"82005,4"
"2102200";"Buriti (MA)";"317302,1"
"2102309";"Buriti Bravo (MA)";"302954,1"
"2102325";"Buriticupu (MA)";"995134,0"
"2102358";"Buritirana (MA)";"139628,6"
"2102374";"Cachoeira Grande (MA)";"75802,0"
"2102408";"Cajapió (MA)";"73805,0"
"2102507";"Cajari (MA)";"134712,2"
"2102556";"Campestre do Maranhão (MA)";"279970,0"
"2102606";"Cândido Mendes (MA)";"177499,4"
"2102705";"Cantanhede (MA)";"189289,4"
"2102754";"Capinzal do Norte (MA)";"310504,3"
"2102804";"Carolina (MA)";"652287,8"
"2102903";"Carutapera (MA)";"235574,5"
"2103000";"Caxias (MA)";"2440068,2"
"2103109";"Cedral (MA)";"84024,3"
"2103125";"Central do Maranhão (MA)";"68881,8"
"2103158";"Centro do Guilherme (MA)";"126887,3"
"2103174";"Centro Novo do Maranhão (MA)";"213797,6"
"2103208";"Chapadinha (MA)";"1042455,8"
"2103257";"Cidelândia (MA)";"232142,5"
"2103307";"Codó (MA)";"1633740,7"
"2103406";"Coelho Neto (MA)";"531449,0"
"2103505";"Colinas (MA)";"687286,8"
"2103554";"Conceição do Lago-Açu (MA)";"164032,6"
"2103604";"Coroatá (MA)";"595188,0"
"2103703";"Cururupu (MA)";"302878,5"
"2103752";"Davinópolis (MA)";"218594,8"
"2103802";"Dom Pedro (MA)";"296095,9"
"2103901";"Duque Bacelar (MA)";"109869,6"
"2104008";"Esperantinópolis (MA)";"185078,5"
"2104057";"Estreito (MA)";"1105184,6"
"2104073";"Feira Nova do Maranhão (MA)";"133185,4"
"2104081";"Fernando Falcão (MA)";"141250,1"
"2104099";"Formosa da Serra Negra (MA)";"222175,7"
"2104107";"Fortaleza dos Nogueiras (MA)";"423550,4"
"2104206";"Fortuna (MA)";"206608,4"
"2104305";"Godofredo Viana (MA)";"977589,6"
"2104404";"Gonçalves Dias (MA)";"171046,0"
