id_municipio,nome_municipio,populacao
2203453,Dom Inocêncio - PI,9546
2203503,Elesbão Veloso - PI,14630
2203602,Eliseu Martins - PI,4900
2203701,Esperantina - PI,39621
2203750,Fartura do Piauí - PI,5295
2203800,Flores do Piauí - PI,4464
2203859,Floresta do Piauí - PI,2556
2203909,Floriano - PI,59840
2204006,Francinópolis - PI,5349
2204105,Francisco Ayres - PI,4373
2204154,Francisco Macedo - PI,3166
2204204,Francisco Santos - PI,9262
2204303,Fronteiras - PI,11590
2204352,Geminiano - PI,5424
2204402,Gilbués - PI,10686
2204501,Guadalupe - PI,10500
